Effective Date,Class,Period,Rate,Transmission
12/01/2025,RS,Peak,31.7565,2.7187
12/01/2025,RS,Off-Peak,5.8450,2.7187
12/01/2025,RS,Super Off-Peak,4.3015,2.7187
12/01/2025,RH,Peak,31.7565,1.5606
12/01/2025,RH,Off-Peak,5.8450,1.5605
12/01/2025,RH,Super Off-Peak,4.3015,1.5605
12/01/2025,RA,Peak,31.7565,2.2454
12/01/2025,RA,Off-Peak,5.8450,2.2454
12/01/2025,RA,Super Off-Peak,4.3015,2.2454
06/01/2025,RS,Peak,27.9343,2.7187
06/01/2025,RS,Off-Peak,5.1528,2.7187
06/01/2025,RS,Super Off-Peak,3.7957,2.7187
06/01/2025,RH,Peak,27.9343,1.5606
06/01/2025,RH,Off-Peak,5.1528,1.5605
06/01/2025,RH,Super Off-Peak,3.7957,1.5605
06/01/2025,RA,Peak,27.9343,2.2454
06/01/2025,RA,Off-Peak,5.1528,2.2454
06/01/2025,RA,Super Off-Peak,3.7957,2.2454
